text,span,polarity,polarity_predicted,aspect,ordinal
"after using the new handset for a couple of weeks, i find that my phone is at 60 70 charge at the end of the day, and it takes 30 40 minutes for complete charging one of the useful features of m33 is that it shows the time remaining for complete charging as soon as it is plugged in for charging .",charging,positive,neutral,battery,0
"it turns out that i could have managed with the old 10 watt charger, except that it would have taken 60 90 minutes for full charging.i conclude by emphasizing that samsung galaxy m33 5g is the perfect phone but for my requirements.",watt charger,neutral,neutral,battery,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",performance,positive,positive,performance,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",value smartphone,positive,positive,value,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",price,positive,positive,value,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",boardhuge performance,positive,positive,performance,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",flagship grade features,positive,positive,performance,0
"a word of advice if you are planning to buy a new phone, it would be helpful if you list out your requirements so that you do not end up paying for features that you do not intend to use.,with 5g connectivity, a 120hz display and solid performance, the galaxy m33 5g is samsung s best value smartphone yet under 20k segmentpros almost half the price of galaxy a53exynos 1280 is a solid performerexcellent 120hz display with smooth experience across the boardhuge performance uplift over m32one ui 4.1 based on android 12 has tons of good features to love, none of the flagship grade features are skipped here apart from dex mode and spen features , zero lag or stuttering in 120 hz mode with ease of use and seemless switching of apps without any crash or reloading of apps, makes using one ui pleasure to surf acrossyou get features like a screen recorder, video call effects, game launcher, link to windows, dual messenger, quick share, music share, and secure folder, along with many others.",lag,positive,positive,performance,0
"some of the fancy android 12 features, like the ability to change the color palette of icons and menus based on the wallpaper and dim the screen for easier reading in the dark, are also included.voice focus for calls is excellent feature, phone call quality is really good even in nosiy and crowded areasi had no issues with gps or connectivity while using google maps to navigate, signal stays strong even in rural areas, thats a positive point with good accuracy4g volte with carrier aggregation works flawlesslywifi connectivity on the dual band 5ghz router is strong and performs more than satisfactorily with low latency responsebluetooth 5.1 connectivity is strong and has good range no worries of disconnection even as far as 15 metersaudio quality via 3.5 mm jack is excellent compared to redmi note 10 pro, much more defined and well roundedfor media consumption widewine l1 support is present, good av experience on ott platforms, i have no serious complaints about color reproduction in videos considering tft lcd this panel does a good enough job .main camera 50mp is on par and better than redmi note 10 pro in almost all conditions, retains colors close to reality with good dynamic range and handling of exposure with hdr in photos as well as videos, it is able to handle extremely bright conditions welleven in shadows during day time it was able to maintain good colorsgood stable videos at 1080p4k video recording is available at 30 fps is availablemany cool camera features , boasts ar fun mode, single take, object eraser and video tnr temporal noise reduction which makes it fun to use cameraselfie camera has good punchy colors, samsung's way of boosted colour processing some may like it ,some may notexcellent battery life, got 9 hours of sot despite the heavy usage.",phone call quality,positive,positive,quality,0
"but price is slightly high for this product..,one got damaged immediately,very good product if screen little bit more brighter, over all nice product !,,this product is very good, its quality is also very good and it proved to be very useful for children, purchased a very good product,brightness is good, writing is smooth.easy to use.has lock button at behind to restrict unwanted erase.butwhile writing dots apper near by drawn text and lines automatically without touching there, so may b not suitable for precise calculation and maths like stuff, example u writing 42 and it may appear 4.2 as dot automatically appear between or near by them at certain places.dots problem more near border and corner.same product same package can be seen in much lower price if you google properly.my use was just for rough work soi didn't request for replace or return as seller send from so far via delivery and i feel it may be uneconomical for seller to receive and return via delivery service.",price,neutral,positive,value,0
"but price is slightly high for this product..,one got damaged immediately,very good product if screen little bit more brighter, over all nice product !,,this product is very good, its quality is also very good and it proved to be very useful for children, purchased a very good product,brightness is good, writing is smooth.easy to use.has lock button at behind to restrict unwanted erase.butwhile writing dots apper near by drawn text and lines automatically without touching there, so may b not suitable for precise calculation and maths like stuff, example u writing 42 and it may appear 4.2 as dot automatically appear between or near by them at certain places.dots problem more near border and corner.same product same package can be seen in much lower price if you google properly.my use was just for rough work soi didn't request for replace or return as seller send from so far via delivery and i feel it may be uneconomical for seller to receive and return via delivery service.",quality,positive,positive,quality,0
"so thinking of seller and understanding their convenience i choose to keep and use it.human only can help and support human ,really good quality product.very light weight.pen is super cool .brightness is very high.must buy product",quality,positive,positive,quality,0
"very good producteasy to handleuse of dpi is awesome,use karne mai bhut badiya clicking no sound super quality hai mere according,i use it for wfh .",sound,positive,positive,sound,0
"it's very handy to use and having good battery life,based on initial usage mouse is nice and easy for usage,vg product,just ok,",battery life,positive,positive,battery,0
but overall quality is really good.,quality,positive,positive,quality,0
price is reasonable.,price,neutral,positive,value,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",recharge,neutral,neutral,battery,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",battery,negative,negative,battery,0
"40 290 ,charging does not last for more than 3 days with out use after full recharge,battery does not last even one week even in wall clocks,charger is not good because no idicate light after battery fully charge,get higher wattage.....",charger,negative,negative,battery,0
"1000 too less and required constant charging.,not even last for 1 2 month in wall clock .",charging,negative,negative,battery,0
"battery leakage is another problempls don't buy and waste money instead go for good mah and good brands,i have tried changing once only it's ok,1.2 v please check when buying",battery leakage,negative,negative,battery,0
"battery leakage is another problempls don't buy and waste money instead go for good mah and good brands,i have tried changing once only it's ok,1.2 v please check when buying",money,negative,negative,value,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",speed,positive,positive,performance,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",quality,neutral,positive,quality,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",price,positive,positive,value,0
"now that s a lot of work for this.,,closed small bed room its works.,small in size,i bought this product cause i thought it will help with my allergic problem,the product is smaller than it looked in picture, u have to use it like using yr mobile while charging..the power switch stopped working within 5 days, so i returned d product.if u really want humidifier for medical purpose then go for genuine higher price quality product.,absolutely useful product, every home must have it.",power switch,positive,positive,battery,0
"now that s a lot of work for this.,,closed small bed room its works.,small in size,i bought this product cause i thought it will help with my allergic problem,the product is smaller than it looked in picture, u have to use it like using yr mobile while charging..the power switch stopped working within 5 days, so i returned d product.if u really want humidifier for medical purpose then go for genuine higher price quality product.,absolutely useful product, every home must have it.",price quality product,positive,positive,quality,0
"i love this.,very good and working very nice,first of all, thanks to amazon for listing it as a returnable item and at an effective cost of less than 3k.coming to the device itself, the reason for purchasing it is to experience google tv.",cost,positive,positive,value,0
"the device was bug ridden from the beginning and they basically abandoned the device in 6 months, with the last software update in feb 2022, still riddled with bugs and never to see google tv 12.the stick heats up enough to scald you if you touch it and it stutters like crazy after usage of over a day, in part due to the lackluster a35 arm cores which is lacking in performance compared to a53 cores present in sticks from over 7 years ago, and also due to poor ram management.only reason to get it would be for the price, if it is less than 3k, but be prepared to suffer through a laggy interface and the known issues of the remote failing within a few months.",performance,negative,negative,performance,0
"the device was bug ridden from the beginning and they basically abandoned the device in 6 months, with the last software update in feb 2022, still riddled with bugs and never to see google tv 12.the stick heats up enough to scald you if you touch it and it stutters like crazy after usage of over a day, in part due to the lackluster a35 arm cores which is lacking in performance compared to a53 cores present in sticks from over 7 years ago, and also due to poor ram management.only reason to get it would be for the price, if it is less than 3k, but be prepared to suffer through a laggy interface and the known issues of the remote failing within a few months.",price,neutral,negative,value,0
build quality is good.,quality,positive,positive,quality,0
"product,the product is simply adjustable and brightness is enough for a study tableease of userecommended for students,i found it matches my requirement and also good by material used..overall good buying decision,enough brightness but there is no control to turn off or dimmable from the led light.",material,positive,positive,quality,0
"but it doesn't have, so turn off or turn on the light, you will need to plug in or remove it from power bank.",power bank,neutral,neutral,battery,0
"can't keep connected in power bank as it always turns on light when connected,if the button of adjustable of brightness was present....then the product was marvelous,it is helpful for me in my wfh at late night due to this product light is switch off and everybody will sleep without any distraction and also i can complete my work",power bank,positive,positive,battery,0
entire product including the beating machine nd other pair of dough hooker is absolutely perfect but the important pair of steel beater is really poor in quality..a rusty pair of beater 've been delivered nd that's too very disappointing...,quality,negative,negative,quality,0
"i would have really appreciate if the quality of beaters can be improved coz the entire product other than this justifies it's value, product for making cake cream....i have used this product more than 8 months.....no issue...no complaint.....good working,it's good if used properly.,i like this product.,its such a good product by kent.",quality,positive,positive,quality,0
"i would have really appreciate if the quality of beaters can be improved coz the entire product other than this justifies it's value, product for making cake cream....i have used this product more than 8 months.....no issue...no complaint.....good working,it's good if used properly.,i like this product.,its such a good product by kent.",value,positive,positive,value,0
hoping that will able to fix it...delivery was late..,delivery,negative,negative,delivery,0
it was out for delivery but didn't received same day....,delivery,negative,negative,delivery,0
"and package was already opened.,nice product",package,negative,positive,delivery,0
"this product little bit costly but quality was good,this does not remove all the lint cleanly.",quality,positive,positive,quality,0
"only the easiest, lightest ones.,sturdy.,adhesion is good but price is high we will get in ikea store for less,extremely effective product and very decently priced., ,worth to buy,very useful product as i have 2 cats at home.",price,positive,positive,value,0
"i am using it from 1 month, it works decent.size is bit small, so it does not provide a good ergonomic.as they say clicks are noiseless, that is not true, button press sound is there.overall it's considerable and worth buying it.,like,light weight and work well,good,hands down, logitech is the best in mouses.",noiseless,negative,positive,sound,0
"i am using it from 1 month, it works decent.size is bit small, so it does not provide a good ergonomic.as they say clicks are noiseless, that is not true, button press sound is there.overall it's considerable and worth buying it.,like,light weight and work well,good,hands down, logitech is the best in mouses.",button press sound,negative,positive,sound,0
"i am not able to scroll smoothly with it.,good battery life, no noise.",battery life,positive,positive,battery,0
everything is good about this mouse except the battery part.,battery part,negative,negative,battery,0
i use this mouse 12 15 hrs a day and i had to change its battery every 2nd month.,battery,neutral,neutral,battery,0
so those who are buying this product should also buy a rechargeable battery and charger.,battery,neutral,positive,battery,0
so those who are buying this product should also buy a rechargeable battery and charger.,charger,neutral,positive,battery,0
"if you try to play those triple aaa games you will feel the lag.,good",lag,neutral,negative,performance,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",price,positive,positive,value,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",money,positive,positive,value,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",quality,positive,positive,quality,0
"but again, you needn't fear about the mobile loosening and falling off.,for the price it is the best, it's hard but without hardness it cannot withhold a weight of tabletso the the hardness makes sense,not bad it's okaysvery nice product bro value for money but you ask the store in this product how much other ways the quality and material are good,better for streaming videos because if you fit your phone in this and then touch it then it moves due to the weight of phone or use this for any work where you don t have to touch your phone frequently such as video calling or voice calling etc.",material,positive,positive,quality,0
"except for that issues, the product is 5 5.,product could be more sturdy.,good product, but the quality is not so good, easily breakable,,good",quality,negative,negative,quality,0
"very good,good quality product and value for money.",quality product,positive,positive,quality,0
"very good,good quality product and value for money.",value,positive,positive,value,0
"very good,good quality product and value for money.",money,positive,positive,value,0
"recommend for buy,average product light weight and average quality.",quality,neutral,positive,quality,0
"slow charging, charging speed is not fast,not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily.",charging,negative,negative,battery,0
"slow charging, charging speed is not fast,not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily.",speed,negative,negative,performance,0
"slow charging, charging speed is not fast,not happy with this product bcoz this is a highly priced as compared to its quality and the wire is not actually retracted easily.",quality,negative,negative,quality,0
good quality.,quality,positive,positive,quality,0
"but when winding down the cable most of the times gets entangled.,usefull,charges, but doesn't support apple car play,built in quality of plastic roll could have been better,useful, 3 types in one time charging,the device gets tangled easily if you don't reel it in and out with both ends tangential to the housing reel.",charges,positive,positive,battery,0
"but it showed that installation wasn't complete even though it was and asked for security password once again after restarting the laptop.,its worth for money,okay, working.,good,valuable produc,good usb wi fi dongle for home and office works",money,positive,positive,value,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",quality,positive,positive,quality,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",theater experiencesound quality,positive,positive,quality,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",bass,positive,positive,sound,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",lag,positive,positive,performance,0
so far the tv is working fine and the picture quality is also excellent.,picture quality,positive,positive,quality,0
"sound quality is also good but low compared to sony or samsung, anyways i have connected to sound bar so that does not matter me anymore.",quality,positive,positive,quality,0
"in one day you cannot judge it,very nice product it s surprisingly charge fast then the original one go for it.",charge,positive,positive,battery,0
",the color is also calming,very nice,good product for the price.",price,positive,positive,value,0
"works well and charges fast.,very nice.,good product..",charges,positive,positive,battery,0
"works fine and good quality product,last time i bought a cable for 199 and it worked 8 months, this cable looked very fancy and didn't work for one month also.",quality product,positive,positive,quality,0
the quality is good.,quality,positive,positive,quality,0
"slightly pricy though.,value for money,it is compatible for redmi note 9 and supporting fast charging too.this is a must buy thing.",money,positive,positive,value,0
"worth of buying.,good product",worth,positive,positive,value,0
"it is not feeling very handy to hold the device and press the button at the same time, sometimes the battery door opens while using it.,it s easy to use but creates a mess when i try to make coffee froth.",battery door,neutral,neutral,battery,0
does not have enough oomph and quickly loses power.,power,negative,negative,battery,0
"excellent packaging as well.,there are two more...",packaging,positive,positive,delivery,0
"looks fine waiting for durable report,good,value for money.",value,positive,positive,value,0
"looks fine waiting for durable report,good,value for money.",money,positive,positive,value,0
"long lasting.,longevity and power is the best,badhiya,like",power,positive,positive,battery,0
"like quick data transfer, dislike geting hot itself in 2 minutes and let other pendrives getting hot also.,product, built quality, transfer speed all good.",quality,positive,positive,quality,0
"like quick data transfer, dislike geting hot itself in 2 minutes and let other pendrives getting hot also.,product, built quality, transfer speed all good.",speed,positive,positive,performance,0
"but the bill i received nothing is visible on it.,not charge fast..not looks 20w charger..cable are good,well,i purchased it to copy stuff from my phone to usb and vice versa.",20w charger,neutral,neutral,battery,0
"expected to get a new product and not a renewed item .if i knew i was buying a renewed item i wouldn t have paid full price .,good product,the product is good but not for steam iron.","price .,good product",positive,positive,value,0
"very good product..only thing i found lacking was quality of non stick should be little more better..good to use..,nice but lock has little rust as shown in picture,performs as expected.,good product,it's a light weight product.,good product....",quality,negative,positive,quality,0
before this i ordered four different items not this one which were of very low price for one minute but after my order and payment the order get cancelled automatically on the very next day.,delivery,negative,negative,value,0
"overall good and useful.,good product, proper fitting, product is very usefull because it's cover full display and body smart watch and protect any damage.screen fully protected with this product.,too cost but its perfect secure for smartwatch worth it paise vasul , for your watch",cost,positive,positive,value,0
i haven t used any other battery pack so will not be able to provide the exact expected performance.,battery pack,neutral,neutral,battery,0
i haven t used any other battery pack so will not be able to provide the exact expected performance.,performance,neutral,positive,performance,0
"simply put it is not 20,000 divide by the battery size of your phone will be the expected cycle times.",battery size,neutral,neutral,battery,0
"if i consider this as a measure then i would say that the battery capacity is around 15000 mah,happy with the product, ,but it s very heavy,day by day battery life is reducing.",battery capacity,positive,positive,battery,0
"if i consider this as a measure then i would say that the battery capacity is around 15000 mah,happy with the product, ,but it s very heavy,day by day battery life is reducing.",day battery life,neutral,positive,battery,0
must be about 1 1.5kg.very quick charge.,charge,positive,positive,battery,0
"charged my samsung m53 twice once full charged.,i recently purchased the mi power bank 3i 20000mah and have been extremely impressed with its performance.",mi power bank,positive,positive,battery,0
"charged my samsung m53 twice once full charged.,i recently purchased the mi power bank 3i 20000mah and have been extremely impressed with its performance.",performance,positive,positive,performance,0
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",power banks,positive,positive,battery,0
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",mi power bank 3i,positive,positive,battery,0
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",charge,positive,positive,battery,0
"i have not had to recharge it as frequently as i have had to with other power banks.in terms of durability, the mi power bank 3i has held up well over time.",power,positive,positive,battery,0
"i have not had to recharge it as frequently as i have had to with other power banks.in terms of durability, the mi power bank 3i has held up well over time.",durability,positive,positive,durability,0
"i have not had to recharge it as frequently as i have had to with other power banks.in terms of durability, the mi power bank 3i has held up well over time.",mi power bank,positive,positive,battery,0
"the construction is solid and the power bank has not suffered any damage despite being carried around in my bag on a daily basis.overall, i am extremely satisfied with my purchase of the mi power bank 3i 20000mah and would highly recommend it to others.",power bank,positive,positive,battery,0
"the construction is solid and the power bank has not suffered any damage despite being carried around in my bag on a daily basis.overall, i am extremely satisfied with my purchase of the mi power bank 3i 20000mah and would highly recommend it to others.",mi power bank,positive,positive,battery,0
it is a reliable and high quality power bank that delivers on its advertised capacity.,quality power bank,positive,positive,battery,0
"build quality is good and it is comes with 2 year warranty.,good product,bought it for charging my mobile tab but it doesn't work for lenovo m8 tab,guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit,good,nice,good quality,1.5 15watt 150 , 67 , ,",quality,positive,positive,quality,0
"build quality is good and it is comes with 2 year warranty.,good product,bought it for charging my mobile tab but it doesn't work for lenovo m8 tab,guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit,good,nice,good quality,1.5 15watt 150 , 67 , ,","quality,1.5 15watt",positive,positive,quality,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",quality,positive,positive,quality,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",quality,positive,positive,quality,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",charging,positive,positive,battery,0
best value.,value,positive,positive,value,0
similar 2 m cable costs 3x or 4x in retail market.,m cable costs,negative,negative,value,0
"this is best price,great product.",price,positive,positive,value,0
wanted this as my portable battery has usb slot and ipad and kindle reader have usb c ports.,battery,positive,positive,battery,0
"charges very fast.,good,very good overall",charges,positive,positive,battery,0
"good item.,good working worth of money ,it is an awesome cable i got it from amazon.",worth,positive,positive,value,0
"good item.,good working worth of money ,it is an awesome cable i got it from amazon.",money,positive,positive,value,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",quality,positive,positive,quality,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",charges,positive,positive,battery,0
"do charge my phone in a fast way.,the cable is good in quality and charges fast , got it in good deal in the sale .,it's not a fast charger.",charger,positive,positive,battery,0
it says fast charge but it takes forever to charge.,charge,negative,negative,battery,0
"but the wire is strong and durable.,super fast,charging very fast good product ,works for both dash and warp charging.",warp charging,positive,positive,battery,0
good build quality.,build quality,positive,positive,quality,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",chargers,positive,positive,battery,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",charger,positive,positive,battery,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",value,positive,positive,value,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",money,positive,positive,value,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",value,positive,positive,value,0
